TRAMO_ID;INTERVALO_ID;N_ACCIDENTES;HUBO_ACCIDENTE;TIPO_VIA_DETALLE
IMD_39183;Madrid|A-1|12|14;14;1;Autovía
IMD_39184;Madrid|A-1|14|16.8;12;1;Autovía
IMD_39185;Madrid|A-1|16.8|19.2;11;1;Autovía
IMD_39186;Madrid|A-1|19.2|20.4;1;1;Autovía
IMD_39187;Madrid|A-1|20.4|22.7;3;1;Autovía
IMD_39188;Madrid|A-1|22.7|33.7;13;1;Autovía
IMD_39189;Madrid|A-1|33.7|40.2;18;1;Autovía
IMD_39190;Madrid|A-1|40.2|44.1;4;1;Autovía
IMD_39191;Madrid|A-1|44.1|46.3;1;1;Autovía
IMD_39192;Madrid|A-1|46.3|49.9;5;1;Autovía
IMD_39193;Madrid|A-1|49.9|57.1;7;1;Autovía
IMD_39194;Madrid|A-1|57.1|60.1;0;0;Autovía
IMD_39195;Madrid|A-1|60.1|66;0;0;Autovía
IMD_39196;Madrid|A-1|66|67.1;1;1;Autovía
IMD_39197;Madrid|A-1|67.1|68.7;1;1;Autovía
IMD_39198;Madrid|A-1|68.7|71.8;1;1;Autovía
IMD_39199;Madrid|A-1|71.8|73.5;1;1;Autovía
IMD_39200;Madrid|A-1|73.5|76.2;0;0;Autovía
IMD_39201;Madrid|A-1|76.2|79.1;3;1;Autovía
IMD_39202;Madrid|A-1|79.1|83.2;1;1;Autovía
IMD_39203;Madrid|A-1|83.2|85.4;0;0;Autovía
IMD_39204;Madrid|A-1|85.4|87.5;2;1;Autovía
IMD_39205;Madrid|A-1|87.5|90.5;3;1;Autovía
IMD_39206;Madrid|A-1|90.5|95.6;3;1;Autovía
IMD_39207;Segovia|A-1|95.6|98.4;0;0;Autovía
IMD_39208;Segovia|A-1|98.4|100.4;1;1;Autovía
IMD_39209;Segovia|A-1|100.4|103.7;2;1;Autovía
IMD_39210;Segovia|A-1|103.7|109.1;2;1;Autovía
IMD_39211;Segovia|A-1|109.1|115.4;2;1;Autovía
IMD_39212;Segovia|A-1|115.4|116.8;1;1;Autovía
IMD_39213;Segovia|A-1|116.8|120.6;1;1;Autovía
IMD_39214;Segovia|A-1|120.6|123.3;1;1;Autovía
IMD_39215;Segovia|A-1|123.3|130;1;1;Autovía
IMD_39216;Segovia|A-1|130|133.5;3;1;Autovía
IMD_39217;Segovia|A-1|133.5|136.8;1;1;Autovía
IMD_39218;Segovia|A-1|136.8|140;0;0;Autovía
IMD_39219;Segovia|A-1|140|140.82;0;0;Autovía
IMD_39220;Burgos|A-1|140.82|143.4;0;0;Autovía
IMD_39221;Burgos|A-1|143.4|146.3;0;0;Autovía
IMD_39222;Burgos|A-1|146.3|152;1;1;Autovía
IMD_39223;Burgos|A-1|152|153.5;0;0;Autovía
IMD_39224;Burgos|A-1|153.5|157.2;0;0;Autovía
IMD_39225;Burgos|A-1|157.2|158.5;0;0;Autovía
IMD_39226;Burgos|A-1|158.5|163.1;1;1;Autovía
IMD_39227;Burgos|A-1|163.1|167.7;2;1;Autovía
IMD_39228;Burgos|A-1|167.7|171;1;1;Autovía
IMD_39229;Burgos|A-1|171|176.1;3;1;Autovía
IMD_39230;Burgos|A-1|176.1|179.6;1;1;Autovía
IMD_39231;Burgos|A-1|179.6|185;0;0;Autovía
IMD_39232;Burgos|A-1|185|189.5;0;0;Autovía
IMD_39233;Burgos|A-1|189.5|196.2;1;1;Autovía
IMD_39234;Burgos|A-1|196.2|197.6;0;0;Autovía
IMD_39235;Burgos|A-1|197.6|199.2;0;0;Autovía
IMD_39236;Burgos|A-1|199.2|201;1;1;Autovía
IMD_39237;Burgos|A-1|201|202.3;0;0;Autovía
IMD_39238;Burgos|A-1|202.3|209.3;2;1;Autovía
IMD_39239;Burgos|A-1|209.3|213;2;1;Autovía
IMD_39240;Burgos|A-1|213|216.4;1;1;Autovía
IMD_39241;Burgos|A-1|216.4|220.9;0;0;Autovía
IMD_39242;Burgos|A-1|220.9|229.3;1;1;Autovía
IMD_39243;Burgos|A-1|229.3|232.4;1;1;Autovía
IMD_39244;Burgos|A-1|232.4|235;2;1;Autovía
IMD_39245;Burgos|A-1|235|238.2;4;1;Autovía
IMD_39246;Burgos|A-1|238.2|242.5;1;1;Autovía
IMD_39247;Burgos|A-1|242.5|244.5;0;0;Autovía
IMD_39248;Burgos|A-1|244.5|246.5;1;1;Autovía
IMD_39249;Burgos|A-1|246.5|247.3;1;1;Autovía
IMD_39250;Burgos|A-1|247.3|251.7;0;0;Autovía
IMD_39251;Burgos|A-1|251.7|252.8;1;1;Autovía
IMD_39252;Burgos|A-1|329.4|333.5;1;1;Autovía
IMD_39253;Burgos|A-1|333.5|336.7;0;0;Autovía
IMD_39254;Soria|A-11|21.218|26.278;0;0;Autovía
IMD_39255;Soria|A-11|26.278|36.6;0;0;Autovía
IMD_39256;Soria|A-11|36.6|45.3;0;0;Autovía
IMD_39257;Soria|A-11|45.3|53;0;0;Autovía
IMD_39258;Soria|A-11|53|60.6;1;1;Autovía
IMD_39259;Soria|A-11|60.6|64.8;0;0;Autovía
IMD_39260;Soria|A-11|64.8|71.6;1;1;Autovía
IMD_39261;Soria|A-11|71.6|79.3;0;0;Autovía
IMD_39262;Soria|A-11|79.3|83.85;0;0;Autovía
IMD_39263;Burgos|A-11|105.3|111.5;1;1;Autovía
IMD_39264;Burgos|A-11|111.5|112.4;0;0;Autovía
IMD_39265;Burgos|A-11|112.4|112.9;0;0;Autovía
IMD_39266;Burgos|A-11|112.9|119.3;0;0;Autovía
IMD_39267;Valladolid|A-11|343.45|344.2;0;0;Autovía
IMD_39268;Valladolid|A-11|344.2|347;0;0;Autovía
IMD_39269;Valladolid|A-11|347|354;2;1;Autovía
IMD_39270;Valladolid|A-11|354|358.38;0;0;Autovía
IMD_39271;Valladolid|A-11|393.9|395.6;0;0;Autovía
IMD_39272;Valladolid|A-11|395.6|410.2;2;1;Autovía
IMD_39273;Valladolid|A-11|410.2|412.1;0;0;Autovía
IMD_39274;Zamora|A-11|412.1|417.1;0;0;Autovía
IMD_39275;Zamora|A-11|417.1|424.4;0;0;Autovía
IMD_39276;Zamora|A-11|424.4|438;2;1;Autovía
IMD_39277;Zamora|A-11|438|447.7;1;1;Autovía
IMD_39278;Zamora|A-11|447.7|455.82;1;1;Autovía
