PROV;ANYO;N_ACC;pred_naive;pred_explicativo;pred_predictivo;pred_jerarquico
A Coruña;2024;275;254.0;281.6;272.1;269.2
Albacete;2024;135;111.0;118.5;115.5;101.6
Alicante;2024;579;548.0;550.3;655.2;651.7
Almería;2024;143;160.0;144.5;143.9;90.7
Asturias;2024;288;244.0;328.6;330.2;290.0
Badajoz;2024;120;115.0;118.6;118.1;121.4
Barcelona;2024;577;1091.0;413.2;753.1;777.0
Burgos;2024;119;94.0;191.8;186.9;139.2
Cantabria;2024;265;292.0;328.2;327.8;348.6
Castellón;2024;231;231.0;265.4;239.5;245.7
Ciudad Real;2024;81;86.0;94.3;88.9;90.7
Cuenca;2024;110;111.0;140.6;140.1;111.3
Cáceres;2024;94;74.0;101.8;97.2;92.9
Cádiz;2024;260;252.0;221.8;238.1;255.8
Córdoba;2024;159;122.0;145.4;153.0;143.8
Girona;2024;190;211.0;249.4;207.8;225.1
Granada;2024;176;241.0;208.4;240.7;255.1
Guadalajara;2024;147;112.0;108.3;104.1;107.1
Huelva;2024;142;120.0;125.5;130.3;135.2
Huesca;2024;134;110.0;163.8;149.3;135.7
Jaén;2024;103;80.0;142.0;141.0;121.5
La Rioja;2024;116;115.0;99.3;103.2;120.5
León;2024;104;133.0;133.6;138.1;145.2
Lleida;2024;202;207.0;189.2;182.5;233.8
Lugo;2024;93;71.0;153.6;128.8;107.0
Madrid;2024;1390;1198.0;1770.4;1401.6;1365.8
Murcia;2024;260;214.0;421.1;320.9;218.9
Málaga;2024;95;422.0;108.6;137.8;101.6
Navarra;2024;1;1.0;12.5;10.9;2.4
Ourense;2024;64;58.0;102.8;83.7;64.1
Palencia;2024;32;47.0;68.5;63.4;46.9
Pontevedra;2024;313;309.0;223.6;235.0;323.4
Salamanca;2024;70;81.0;88.5;84.4;97.9
Segovia;2024;96;89.0;78.8;75.7;82.2
Sevilla;2024;376;375.0;369.6;429.6;453.0
Soria;2024;39;37.0;59.4;54.9;46.2
Tarragona;2024;585;517.0;408.9;506.8;633.9
Teruel;2024;80;45.0;163.4;136.4;116.3
Toledo;2024;208;339.0;207.1;260.3;308.3
Valencia;2024;611;482.0;706.2;758.8;563.4
Valladolid;2024;153;156.0;167.0;164.7;180.5
Zamora;2024;73;68.0;96.8;92.1;80.0
Zaragoza;2024;296;338.0;357.4;406.0;363.6
Ávila;2024;76;64.0;57.1;53.6;69.2
