TRAMO_ID;anio;provincia;carretera;pk_inicio_km;pk_fin_km;imd_total;tipo_via;proporcion_pesados;EN_TEST_COMUN;MOTIVOS_EXCLUSION_EVALUACION;ESTADO_PREDICCION;PROB_ACCIDENTE_TRAMO_ANIO;FUERA_RANGO_TRAIN;INTERVALO_ID;CLAVE_TRAMO_ANIO;VERSION_MODELO;IMD_IMPUTADO
IMD_39183;2024;Madrid;A-1;12.0;14.0;207675.0;Autopista_autovia;0.0333261105092091;True;;OK;0.9184841906347853;False;Madrid|A-1|12|14;Madrid|A-1|12|14|2024;v2 | Random Forest | Base;False
IMD_39184;2024;Madrid;A-1;14.0;16.8;207675.0;Autopista_autovia;0.0333261105092091;True;;OK;0.9532568259809417;False;Madrid|A-1|14|16.8;Madrid|A-1|14|16.8|2024;v2 | Random Forest | Base;False
IMD_39185;2024;Madrid;A-1;16.8;19.2;156308.0;Autopista_autovia;0.0378227601914169;True;;OK;0.8451190154698861;False;Madrid|A-1|16.8|19.2;Madrid|A-1|16.8|19.2|2024;v2 | Random Forest | Base;False
IMD_39186;2024;Madrid;A-1;19.2;20.4;156308.0;Autopista_autovia;0.0378227601914169;True;;OK;0.8729804783332734;False;Madrid|A-1|19.2|20.4;Madrid|A-1|19.2|20.4|2024;v2 | Random Forest | Base;False
IMD_39187;2024;Madrid;A-1;20.4;22.7;97070.0;Autopista_autovia;0.1030596476769341;True;;OK;0.9706947174756223;False;Madrid|A-1|20.4|22.7;Madrid|A-1|20.4|22.7|2024;v2 | Random Forest | Base;False
IMD_39188;2024;Madrid;A-1;22.7;33.7;65405.0;Autopista_autovia;0.0872716153199296;True;;OK;0.9795245334896947;False;Madrid|A-1|22.7|33.7;Madrid|A-1|22.7|33.7|2024;v2 | Random Forest | Base;False
IMD_39189;2024;Madrid;A-1;33.7;40.2;41405.0;Autopista_autovia;0.1067986958096848;True;;OK;0.9762847886682877;False;Madrid|A-1|33.7|40.2;Madrid|A-1|33.7|40.2|2024;v2 | Random Forest | Base;False
IMD_39190;2024;Madrid;A-1;40.2;44.1;41405.0;Autopista_autovia;0.1067986958096848;True;;OK;0.9586893454422076;False;Madrid|A-1|40.2|44.1;Madrid|A-1|40.2|44.1|2024;v2 | Random Forest | Base;False
IMD_39191;2024;Madrid;A-1;44.1;46.3;41405.0;Autopista_autovia;0.1067986958096848;True;;OK;0.8792930524352986;False;Madrid|A-1|44.1|46.3;Madrid|A-1|44.1|46.3|2024;v2 | Random Forest | Base;False
IMD_39192;2024;Madrid;A-1;46.3;49.9;30223.0;Autopista_autovia;0.153988684114747;True;;OK;0.9292674544193303;False;Madrid|A-1|46.3|49.9;Madrid|A-1|46.3|49.9|2024;v2 | Random Forest | Base;False
