PROV;ANYO;N_ACC;VEH_KM;IMD_MEDIA;TEMPERATURA_MEDIA_C;pred_jerarquico;COBERTURA_VEH_KM
A Coruña;2016;192;2486347965.7980003;21485.678260869565;13.96757261154369;;0.8453
A Coruña;2017;234;2734864625.175;21604.938461538462;14.34462461597542;223.2;0.9031
A Coruña;2018;251;3121396860.3;21044.42857142857;13.9209280593958;275.9;1.0
A Coruña;2019;147;1936620620.07;20752.53571428572;13.912416474654378;174.9;0.6281
A Coruña;2021;213;2198548091.585;14514.125;13.971808435739888;173.7;0.9566
A Coruña;2022;173;2398060823.7100005;17481.29411764706;14.782325588837686;195.2;0.8023
A Coruña;2023;254;2935671961.200001;16876.36274509804;15.000037762416795;223.8;0.9671
A Coruña;2024;275;3116487486.6780005;17237.014218009477;14.642938759115069;269.2;1.0
Albacete;2016;63;1940384388.906;6331.2827586206895;15.530057934742308;;1.0
Albacete;2017;71;2037273996.445;6681.08275862069;15.681225358422935;90.1;1.0
Albacete;2018;66;2059429374.535;6784.4689655172415;14.68091813876088;97.9;1.0
Albacete;2019;37;1003480283.25;3923.5210084033615;15.26791474654378;45.7;0.4731
Albacete;2021;120;1539662295.36;5179.972222222223;15.353342293906811;67.1;1.0
Albacete;2022;92;2051716466.46;6931.576158940397;16.242115015360984;93.7;0.9913
Albacete;2023;111;2180057543.445;7170.734177215189;16.18810067844342;96.3;1.0
Albacete;2024;135;2282711035.668;7762.743421052632;16.432341181559757;101.6;0.9951
Alicante;2016;343;4392571668.575999;23037.578125;18.755500092695588;;0.7911
Alicante;2017;498;5522065460.455;26687.81632653061;18.57297139016897;448.7;0.9517
Alicante;2018;645;5985945151.084999;24695.71508379888;18.489076100870456;596.8;1.0
Alicante;2019;543;4703064771.859999;24482.4125;18.328851766513058;571.3;0.7807
Alicante;2021;473;4444161813.349999;21220.355072463768;18.619243791602663;465.4;0.9366
Alicante;2022;528;6197420806.025001;26354.973544973545;19.343748719918075;563.8;0.9928
Alicante;2023;548;6131367392.219999;31164.721518987342;19.27446524577573;598.1;0.9568
Alicante;2024;579;6593031031.608001;28332.06349206349;19.49291728463725;651.7;1.0
Almería;2016;12;1712058697.830001;16106.63768115942;19.04877039302929;;0.8527
Almería;2017;10;1608504407.3500004;19897.195652173912;18.71820148489504;62.2;0.7577
Almería;2018;10;1710423499.7000003;20979.67391304348;18.220785010240657;68.0;0.7677
Almería;2019;145;1925474907.8;20794.21818181818;18.38176139272913;75.7;0.9138
Almería;2021;147;1586578789.4600005;13529.84;18.656811955965185;73.1;0.9958
Almería;2022;33;236789576.5900008;6569.953488372093;19.225704045058887;10.6;0.1115
Almería;2023;160;1940297712.925;21583.21052631579;19.08614599334357;74.8;0.9224
Almería;2024;143;1986874499.1;21992.087719298244;18.95808506365097;90.7;0.919
Asturias;2016;170;2521807998.774;13034.531746031746;13.46085712520084;;0.7116
Asturias;2017;214;2736515347.895;14739.357723577235;13.60478270609319;203.2;0.7816
Asturias;2018;262;3217814585.78;14759.70802919708;13.309886712749616;257.2;0.9049
Asturias;2019;195;3052084759.3450003;18475.29126213592;13.323030593958014;258.1;0.8477
Asturias;2021;175;2257197334.025;11289.80303030303;13.214629416282644;177.1;0.8062
Asturias;2022;209;3115331603.105;13469.410714285714;14.305645161290323;221.8;0.8882
Asturias;2023;244;2885481286.43;9152.955823293172;14.543357334869432;211.9;0.8093
Asturias;2024;288;3669650830.374;10678.919847328243;14.052294215795328;290.0;1.0
Badajoz;2016;100;2044237786.338;7164.6781609195405;16.812676430601904;;1.0
Badajoz;2017;98;2060031650.085;7004.46551724138;17.57313748079877;101.5;1.0
Badajoz;2018;123;2216698283.795;7379.281609195402;16.16363063236047;118.9;1.0
Badajoz;2019;96;2007537224.525;8352.127819548872;16.835447068612392;106.4;0.8626
Badajoz;2021;69;1543417765.395;6397.525547445255;16.711393369175628;79.6;0.8598
Badajoz;2022;89;1463103561.0550003;5752.379888268157;17.82403545826933;67.9;0.641
Badajoz;2023;115;2389861931.275;7623.470873786407;17.697403673835126;114.4;1.0
Badajoz;2024;120;2420208881.352;7650.368932038835;17.473424792979856;121.4;1.0
Barcelona;2016;512;4340252215.26;79297.33333333333;14.962064794215795;;0.5899
Barcelona;2017;1042;6880986168.500002;85250.16363636364;15.062483358934973;855.9;0.924
Barcelona;2018;1043;6916040227.570003;81184.91379310345;14.942940028161802;1713.0;0.9283
Barcelona;2019;973;6641866521.700003;78602.07407407407;14.93387256784434;1650.0;0.8784
Barcelona;2021;131;570918344.8849996;34442.07692307692;14.950279377880184;134.1;0.1007
Barcelona;2022;631;3623782560.635002;53263.82894736842;16.206351446492576;263.0;0.4674
Barcelona;2023;1091;7856194127.720002;68182.21782178218;16.01577892985151;1080.3;0.9718
Barcelona;2024;577;3073944633.7800026;67081.76086956522;15.702743634902978;777.0;0.3688
Bizkaia;2016;15;218999189.04;27142.0;14.19481862563342;;1.0
Bizkaia;2017;28;226168154.7;28117.75;14.186429211469536;17.3;1.0
Bizkaia;2018;14;232981095.05;28964.5;14.360403865847417;17.9;1.0
Burgos;2016;159;2400254610.03;8505.214285714286;11.347757693733778;;0.8833
Burgos;2017;129;2727987634.624999;8940.523178807947;11.891602022529442;140.9;0.9774
Burgos;2018;155;2833173635.019999;8388.706586826347;11.277642729134664;146.3;1.0
Burgos;2019;122;1827890575.525;6260.313432835821;11.59081989247312;95.8;0.651
Burgos;2021;108;1966408673.03;5649.735849056604;11.386549539170508;99.9;0.9804
Burgos;2022;103;2883491884.59;6253.894904458599;12.65801779313876;132.5;1.0
Burgos;2023;94;2946261593.05;6319.660317460318;12.663597670250896;134.4;1.0
Burgos;2024;119;3017399305.302;6483.451923076923;12.283316030156962;139.2;1.0
Cantabria;2016;284;3065583285.4559994;20302.42735042735;13.78356816215548;;0.9397
Cantabria;2017;127;813289477.75;12669.90909090909;13.678547747055813;84.3;0.246
Cantabria;2018;308;3351404786.1649995;18616.52173913044;13.7270753328213;281.6;1.0
Cantabria;2019;370;3411401303.8299994;18904.1231884058;13.690906938044035;361.8;1.0
Cantabria;2021;273;2679473945.055;14191.527777777776;13.387959549411162;314.2;1.0
Cantabria;2022;248;3220146566.0349994;16378.132352941177;14.811037826420892;304.0;0.9754
Cantabria;2023;292;3538416598.2499995;15626.192468619249;14.671989887352792;326.2;1.0
Cantabria;2024;265;3418685082.384;19812.931428571428;13.896624181188976;348.6;0.9568
Castellón;2016;179;2149394923.716;12440.336842105264;15.362158725744656;;1.0
Castellón;2017;159;1787603232.2300005;10173.583333333334;15.478091397849465;149.7;0.8011
Castellón;2018;200;2156079247.3150005;12479.797752808989;15.232676971326164;178.2;0.9672
Castellón;2019;132;1857705458.5400004;11627.101449275362;15.49908698156682;159.1;0.8071
Castellón;2021;166;1867703682.35;9894.4625;14.676395609318996;154.3;0.9699
Castellón;2022;202;2741999622.180001;14141.009345794391;15.9586421530978;217.2;0.9965
Castellón;2023;231;2688153885.2250004;14535.70786516854;15.976966845878138;222.4;0.9583
Castellón;2024;231;2857866032.1420007;13449.455357142857;15.95926291558522;245.7;0.9877
Ciudad Real;2016;91;1665736598.106;8989.433333333332;15.89454053887035;;0.9054
Ciudad Real;2017;107;1857178253.635;8210.401785714286;16.51584741423451;93.6;0.9922
Ciudad Real;2018;109;1946539327.535;8368.9;15.235298899129544;108.4;1.0
Ciudad Real;2019;91;1972479133.3;8768.871559633028;16.022251984126985;104.7;1.0
Ciudad Real;2021;86;1473893227.8699996;6602.158878504673;16.089320916538657;76.1;0.9911
Ciudad Real;2022;102;1991894306.375;6605.139072847682;17.05856982846902;96.0;1.0
Ciudad Real;2023;86;2030653930.8550005;6724.898648648648;16.860455069124423;101.0;1.0
Ciudad Real;2024;81;1857158920.2000003;7702.113043478261;16.795437677666545;90.7;0.9157
Cuenca;2016;106;2219590825.3620005;5918.553571428572;13.961923278951922;;1.0
Cuenca;2017;92;2328798975.2250004;6229.696428571428;14.54756784434204;105.6;1.0
Cuenca;2018;80;2390669672.625;6337.899122807017;13.545105926779314;113.4;1.0
Cuenca;2019;98;2342718298.04;6612.342592592592;14.029526049667178;106.0;0.9442
Cuenca;2021;94;1607117973.465;4747.50505050505;14.027674091141831;74.4;0.9311
Cuenca;2022;118;2526075415.495;5697.737967914439;15.334371479774704;106.9;1.0
Cuenca;2023;111;2524328900.715;5742.967914438503;14.901361367127498;113.1;1.0
Cuenca;2024;110;2541018319.098;5754.20320855615;15.10126282288963;111.3;1.0
Cáceres;2016;80;1757297779.7639997;6449.595890410959;16.277047954517364;;1.0
Cáceres;2017;80;1849433710.6449995;6802.36301369863;17.205682283666153;84.5;1.0
Cáceres;2018;78;1866194632.555;6919.275862068966;15.826341525857655;92.9;1.0
Cáceres;2019;106;1940449777.035;6916.034246575343;16.4192482718894;92.7;0.9992
Cáceres;2021;92;1431145452.7899995;5158.708333333333;16.211165194572455;71.8;1.0
Cáceres;2022;92;1953571504.77;6219.3375;17.31508480542755;89.6;1.0
Cáceres;2023;74;1993314371.36;6283.204968944099;17.021454173067074;93.0;1.0
Cáceres;2024;94;2038376623.908;6453.770186335404;17.018827709801013;92.9;1.0
Cádiz;2016;99;2510294949.420001;26270.66153846154;18.619935422073908;;0.9852
Cádiz;2017;150;2600474401.7300024;29393.754098360656;18.99878168202765;186.9;0.9384
Cádiz;2018;160;2668450251.190001;27626.276923076923;17.685703725038405;222.5;0.9858
Cádiz;2019;314;2767271627.5950003;28838.38095238096;18.16843958013313;226.2;0.9974
Cádiz;2021;224;1677010017.810001;20613.14814814815;18.343500384024576;165.9;0.7815
Cádiz;2022;128;1888749788.21;26951.01818181818;19.219441564260112;156.6;0.6869
Cádiz;2023;252;2804080789.5300026;26782.837209302324;19.16988159242192;206.1;1.0
