TRAMO_ID,ANYO,PROVINCIA,VIA_NORM,TIPO_VIA,PK_INICIO,PK_FIN,LONGITUD,IMD_TOTAL,IMD_LIG,IMD_PES,VEH_KM,N_ACC,HUBO_ACCIDENTE,TASA_100M
0,2016,Madrid,A-1,Autopista libre y autovía,12.69,15.7,3.01,214405.0,207787.0,6618.0,235556053.2,36,1,15.282987
1,2016,Madrid,A-1,Autopista libre y autovía,15.7,17.24,1.54,214405.0,207787.0,6618.0,120517050.5,17,1,14.105888
2,2016,Madrid,A-1,Autopista libre y autovía,17.24,21.05,3.81,151413.0,146782.0,4631.0,210562488.5,24,1,11.398042
3,2016,Madrid,A-1,Autopista libre y autovía,21.05,22.96,1.91,84653.0,79520.0,5133.0,59015839.0,3,1,5.083381
4,2016,Madrid,A-1,Autopista libre y autovía,22.96,33.94,10.98,61874.0,57499.0,4375.0,247972429.8,30,1,12.098119
5,2016,Madrid,A-1,Autopista libre y autovía,33.94,40.65,6.71,39735.0,36226.0,3509.0,97316975.2,17,1,17.468689
6,2016,Madrid,A-1,Autopista libre y autovía,40.65,47.35,6.7,39735.0,36226.0,3509.0,97171942.5,4,1,4.116415
7,2016,Madrid,A-1,Autopista libre y autovía,47.35,50.12,2.77,29401.0,25744.0,3657.0,29725881.0,4,1,13.456287
8,2016,Madrid,A-1,Autopista libre y autovía,50.12,66.16,16.04,29401.0,25744.0,3657.0,172131094.6,14,1,8.133336
9,2016,Madrid,A-1,Autopista libre y autovía,66.16,68.07,1.91,22454.0,18824.0,3630.0,15653806.1,1,1,6.388223
10,2016,Madrid,A-1,Autopista libre y autovía,68.07,72.02,3.95,22454.0,18824.0,3630.0,32373054.5,1,1,3.088989
11,2016,Madrid,A-1,Autopista libre y autovía,72.02,77.8,5.78,22454.0,18824.0,3630.0,47371203.8,1,1,2.110987
12,2016,Madrid,A-1,Autopista libre y autovía,77.8,88.04,10.24,22605.0,19187.0,3418.0,84488448.0,3,1,3.550781
13,2016,Madrid,A-1,Autopista libre y autovía,88.04,90.75,2.71,22605.0,19187.0,3418.0,22359735.8,2,1,8.94465
14,2016,Madrid,A-1,Autopista libre y autovía,90.75,95.6,4.85,22605.0,19187.0,3418.0,40016501.2,2,1,4.997938
15,2016,Segovia,A-1,Autopista libre y autovía,95.6,99.29,3.69,20719.0,17342.0,3377.0,27905385.2,3,1,10.750613
